,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Setosa = 0,,Learning Rate,,0.1,,,,,,,,,,,,,
,,,,,,Versicolor = 1,,Bobot bias,,,,,dot product,Sigmoid,Prediksi,error,Sum Square Error,,,,,,
EPOCH,No,X1,X2,X3,X4,TARGET,,bias,teta1,teta2,teta 3,teta4,z,g(z),,,,,dbias,dteta1,dteta2,dteta3,dteta4
epoch1,1,5.1,3.5,1.4,0.2,0,,0.5,0.5,0.5,0.5,0.5,5.6,0.9963157601,1,0.9963157601,0.9926450938,,0.007314285321,0.03730285514,0.02559999862,0.01023999945,0.001462857064
,2,4.9,3,1.4,0.2,0,,0.4992685715,0.4962697145,0.4974400001,0.4989760001,0.4998537143,5.221847316,0.9946316257,1,0.9946316257,0.9892920708,,0.01062178028,0.05204672337,0.03186534084,0.01487049239,0.002124356056
,3,4.7,3.2,1.3,0.2,0,,0.4982063934,0.4910650421,0.4942534661,0.4974889508,0.4996412787,5.134487075,0.9941444179,1,0.9941444179,0.9883231236,,0.01157441438,0.05439974758,0.03703812601,0.01504673869,0.002314882876
,4,4.6,3.1,1.5,0.2,0,,0.497048952,0.4856250674,0.4905496535,0.4959842769,0.4994097904,5.095486561,0.993912953,1,0.993912953,0.9878629582,,0.01202633649,0.05532114786,0.03728164312,0.01803950474,0.002405267298
,5,5,3.6,1.4,0.2,0,,0.4958463184,0.4800929526,0.4868214891,0.4941803265,0.4991692637,5.440554752,0.9956816524,1,0.9956816524,0.9913819529,,0.008562263748,0.04281131874,0.03082414949,0.01198716925,0.00171245275
,6,5.4,3.9,1.7,0.4,0,,0.494990092,0.4758118207,0.4837390742,0.4929816095,0.4989980184,5.988624257,0.9974991591,1,0.9974991591,0.9950045723,,0.004976696328,0.02687416017,0.01940911568,0.008460383757,0.001990678531
,7,4.6,3.4,1.4,0.3,0,,0.4944924223,0.4731244047,0.4817981626,0.4921355712,0.4987989505,5.147607922,0.9942203051,1,0.9942203051,0.9884740151,,0.01142615644,0.05256031963,0.0388489319,0.01599661902,0.003427846932
,8,5,3.4,1.5,0.2,0,,0.4933498067,0.4678683728,0.4779132694,0.4905359093,0.4984561658,5.293091884,0.9949989405,1,0.9949989405,0.9900228916,,0.009902326762,0.04951163381,0.03366791099,0.01485349014,0.001980465352
,9,4.4,2.9,1.4,0.2,0,,0.492359574,0.4629172094,0.4745464783,0.4890505603,0.4982581193,4.689702491,0.9908942568,1,0.9908942568,0.9818714282,,0.01788133815,0.07867788784,0.05185588062,0.0250338734,0.003576267629
,10,4.9,3.1,1.5,0.1,0,,0.4905714402,0.4550494206,0.4693608903,0.4865471729,0.4979004926,4.95494317,0.9930008525,1,0.9930008525,0.9860506931,,0.01380302845,0.06763483939,0.04278938819,0.02070454267,0.001380302845
,11,5.4,3.7,1.5,0.2,0,,0.4891911374,0.4482859366,0.4650819515,0.4844767186,0.4977624623,5.457005986,0.995751814,1,0.995751814,0.9915216752,,0.00842433691,0.04549141931,0.03117004657,0.01263650536,0.001684867382
,12,4.8,3.4,1.6,0.2,0,,0.4883487037,0.4437367947,0.4619649468,0.4832130681,0.4975939755,5.061625842,0.9937046317,1,0.9937046317,0.9874488951,,0.01243270891,0.05967700277,0.04227121029,0.01989233426,0.002486541782
,13,4.8,3,1.4,0.1,0,,0.4871054328,0.4377690944,0.4577378258,0.4812238347,0.4973453214,4.685058464,0.9908522589,1,0.9908522589,0.9817881989,,0.01796228855,0.08621898504,0.05388686565,0.02514720397,0.001796228855
,14,4.3,3,1.1,0.1,0,,0.4853092039,0.4291471959,0.4523491392,0.4787091143,0.4971656985,4.26398616,0.9861289906,1,0.9861289906,0.9724503861,,0.02697773692,0.1160042688,0.08093321076,0.02967551061,0.002697773692
,15,5.8,4,1.2,0.2,0,,0.4826114302,0.4175467691,0.4442558181,0.4757415632,0.4968959211,5.351675023,0.9952821591,1,0.9952821591,0.9905865763,,0.009346859655,0.054211786,0.03738743862,0.01121623159,0.001869371931
,16,5.7,4.4,1.5,0.4,0,,0.4816767443,0.4121255905,0.4405170743,0.4746199401,0.4967089839,5.67968124,0.9965969734,1,0.9965969734,0.9932055274,,0.006759809634,0.03853091492,0.02974316239,0.01013971445,0.002703923854
,17,5.4,3.9,1.3,0.4,0,,0.4810007633,0.408272499,0.437542758,0.4736059686,0.4964385915,5.20635221,0.9945482514,1,0.9945482514,0.9891262243,,0.01078493506,0.05823864934,0.04206124675,0.01402041558,0.004313974025
,18,5.1,3.5,1.4,0.3,0,,0.4799222698,0.402448634,0.4333366334,0.4722039271,0.4960071941,4.858976176,0.9923013066,1,0.9923013066,0.9846618832,,0.01516121981,0.07732222104,0.05306426934,0.02122570774,0.004548365943
,19,5.7,3.8,1.7,0.3,0,,0.4784061478,0.3947164119,0.4280302064,0.4700813563,0.4955523575,5.302608493,0.9950460732,1,0.9950460732,0.9901166879,,0.009809931118,0.05591660737,0.03727773825,0.0166768829,0.002942979336
,20,5.1,3.8,1.5,0.3,0,,0.4774251547,0.3891247512,0.4243024326,0.468413668,0.4952580596,4.92550855,0.9927932801,1,0.9927932801,0.9856384969,,0.01420644122,0.07245285021,0.05398447663,0.02130966183,0.004261932365
,21,5.4,3.4,1.7,0.2,0,,0.4760045106,0.3818794662,0.4189039849,0.4662827018,0.4948318664,4.854074143,0.9922637674,1,0.9922637674,0.9845873841,,0.01523399402,0.08226356768,0.05179557965,0.02589778983,0.003046798803
,22,5.1,3.7,1.5,0.4,0,,0.4744811112,0.3736531094,0.413724427,0.4636929228,0.4945271865,4.804242608,0.9918717052,1,0.9918717052,0.9838094795,,0.01599338698,0.08156627361,0.05917553184,0.02399008047,0.006397354793
,23,4.6,3.6,1,0.2,0,,0.4728817725,0.365496482,0.4078068738,0.4612939148,0.493887451,4.18234174,0.9849667244,1,0.9849667244,0.9701594482,,0.02916934873,0.1341790042,0.1050096554,0.02916934873,0.005833869746
,24,5.1,3.3,1.7,0.5,0,,0.4699648376,0.3520785816,0.3973059082,0.4583769799,0.493304064,4.602567999,0.9900734682,1,0.9900734682,0.9802454724,,0.0194608757,0.09925046606,0.06422088981,0.03308348869,0.009730437849
,25,4.8,3.4,1.9,0.2,0,,0.46801875,0.342153535,0.3908838193,0.455068631,0.4923310202,4.402457307,0.9879009716,1,0.9879009716,0.9759483296,,0.02361605319,0.1133570553,0.08029458083,0.04487050105,0.004723210637
,26,5,3,1.6,0.2,0,,0.4656571447,0.3308178295,0.3828543612,0.4505815809,0.4918586992,4.087611645,0.9834976369,1,0.9834976369,0.9672676017,,0.0319244024,0.159622012,0.09577320719,0.05107904383,0.006384880479
,27,5,3.4,1.6,0.4,0,,0.4624647045,0.3148556283,0.3732770405,0.4454736766,0.4912202111,4.21513075,0.9854445986,1,0.9854445986,0.9711010568,,0.02826953145,0.1413476572,0.09611640693,0.04523125032,0.01130781258
,28,5.2,3.5,1.5,0.2,0,,0.4596377513,0.3007208626,0.3636653998,0.4409505515,0.4900894299,4.055658849,0.9829709498,1,0.9829709498,0.9662318882,,0.03290802256,0.1711217173,0.115178079,0.04936203385,0.006581604513
,29,5.2,3.4,1.4,0.2,0,,0.4563469491,0.2836086908,0.3521475919,0.4360143481,0.4894312694,3.836720295,0.9788909894,1,0.9788909894,0.9582275691,,0.04045447184,0.2103632536,0.1375452043,0.05663626058,0.008090894368
,30,4.7,3.2,1.6,0.2,0,,0.4523015019,0.2625723655,0.3383930714,0.4303507221,0.48862218,3.55553504,0.9722272713,1,0.9722272713,0.9452258671,,0.05250300306,0.2467641144,0.1680096098,0.0840048049,0.01050060061
,31,4.8,3.1,1.6,0.2,0,,0.4470512016,0.237895954,0.3215921105,0.4219502416,0.4875721199,3.358522134,0.9663827982,1,0.9663827982,0.9338957127,,0.0627899212,0.3013916218,0.1946487557,0.1004638739,0.01255798424
,32,5.4,3.4,1.5,0.4,0,,0.4407722095,0.2077567919,0.3021272349,0.4119038542,0.4863163215,3.402273794,0.9677755215,1,0.9677755215,0.9365894599,,0.06036221392,0.3259559551,0.2052315273,0.09054332087,0.02414488557
,33,5.2,4.1,1.5,0.1,0,,0.4347359881,0.1751611963,0.2816040822,0.4028495221,0.4839018329,3.152815412,0.9590195137,1,0.9590195137,0.9197184276,,0.0753810169,0.3919812879,0.3090621693,0.1130715254,0.00753810169
,34,5.5,4.2,1.4,0.2,0,,0.4271978864,0.1359630676,0.2506978652,0.3915423696,0.4831480228,2.872714714,0.9464810278,1,0.9464810278,0.8958263359,,0.09588740958,0.5273807527,0.4027271202,0.1342423734,0.01917748192
,35,4.9,3.1,1.5,0.1,0,,0.4176091454,0.08322499229,0.2104251532,0.3781181322,0.4812302746,2.093029808,0.8902238649,1,0.8902238649,0.7924985297,,0.1739948513,0.8525747712,0.5393840389,0.2609922769,0.01739948513
,36,5,3.2,1.2,0.2,0,,0.4002096603,-0.002032484834,0.1564867493,0.3520189045,0.4794903261,1.409125585,0.8036279887,1,0.8036279887,0.6458179443,,0.2536411373,1.268205686,0.8116516392,0.3043693647,0.05072822745
,37,5.5,3.5,1.3,0.2,0,,0.3748455466,-0.1288530535,0.07532158538,0.3215819681,0.4744175033,0.4427193605,0.6089068088,1,0.6089068088,0.3707675018,,0.290009291,1.5950511,1.015032518,0.3770120782,0.05800185819
,38,4.9,3.1,1.5,0.1,0,,0.3458446175,-0.2883581635,-0.02618166645,0.2838807603,0.4686173175,-0.6755906775,0.3372461271,0,0.3372461271,0.1137349503,,0.1507565575,0.7387071319,0.4673453284,0.2261348363,0.01507565575
,39,4.4,3,1.3,0.2,0,,0.3307689617,-0.3622288767,-0.07291619928,0.2612672766,0.4671097519,-1.048717284,0.2594714937,0,0.2594714937,0.06732545602,,0.09971283877,0.4387364906,0.2991385163,0.1296266904,0.01994256775
,40,5.1,3.4,1.5,0.2,0,,0.3207976779,-0.4061025257,-0.1028300509,0.2483046076,0.4651154951,-1.634467366,0.1632192956,0,0.1632192956,0.02664053845,,0.04458457705,0.227381343,0.151587562,0.06687686558,0.008916915411
,41,7,3.2,4.7,1.4,1,,0.3163392202,-0.42884066,-0.1179888071,0.241616921,0.4642238036,-1.277596729,0.2179595912,0,-0.7820404088,0.6115872011,,-0.2666025926,-1.866218148,-0.8531282963,-1.253032185,-0.3732436296
,42,6.4,3.2,4.5,1.5,1,,0.3429994794,-0.2422188452,-0.03267597748,0.3669201395,0.5015481666,1.09169862,0.7487014478,1,-0.2512985522,0.06315096232,,-0.09456243384,-0.6051995766,-0.3025997883,-0.4255309523,-0.1418436508
,43,6.9,3.1,4.9,1.5,1,,0.3524557228,-0.1816988876,-0.002415998653,0.4094732348,0.5157325316,1.871261451,0.8666041704,1,-0.1333958296,0.01779444737,,-0.03084148459,-0.2128062437,-0.09560860224,-0.1511232745,-0.04626222689
