WHAT TO PASTE INTO THE GOOGLE SHEET
Generated by SLP-python.py. Two edits are needed: (1) fix the X4 column in the
"training block, (2) fill bias/teta into each validation epoch block."

SECTION 1 - TRAINING BLOCK: replace the X4 column (column F) with these 80 values.
The old sheet had 0.2 filled down; these are the real Iris petal widths.
Repeat the same 80 values in every one of the 5 epoch blocks.

No,X1,X2,X3,X4 (corrected),TARGET
1,5.1,3.5,1.4,0.2,0
2,4.9,3.0,1.4,0.2,0
3,4.7,3.2,1.3,0.2,0
4,4.6,3.1,1.5,0.2,0
5,5.0,3.6,1.4,0.2,0
6,5.4,3.9,1.7,0.4,0
7,4.6,3.4,1.4,0.3,0
8,5.0,3.4,1.5,0.2,0
9,4.4,2.9,1.4,0.2,0
10,4.9,3.1,1.5,0.1,0
11,5.4,3.7,1.5,0.2,0
12,4.8,3.4,1.6,0.2,0
13,4.8,3.0,1.4,0.1,0
14,4.3,3.0,1.1,0.1,0
15,5.8,4.0,1.2,0.2,0
16,5.7,4.4,1.5,0.4,0
17,5.4,3.9,1.3,0.4,0
18,5.1,3.5,1.4,0.3,0
19,5.7,3.8,1.7,0.3,0
20,5.1,3.8,1.5,0.3,0
21,5.4,3.4,1.7,0.2,0
22,5.1,3.7,1.5,0.4,0
23,4.6,3.6,1.0,0.2,0
24,5.1,3.3,1.7,0.5,0
25,4.8,3.4,1.9,0.2,0
26,5.0,3.0,1.6,0.2,0
27,5.0,3.4,1.6,0.4,0
28,5.2,3.5,1.5,0.2,0
29,5.2,3.4,1.4,0.2,0
30,4.7,3.2,1.6,0.2,0
31,4.8,3.1,1.6,0.2,0
32,5.4,3.4,1.5,0.4,0
33,5.2,4.1,1.5,0.1,0
34,5.5,4.2,1.4,0.2,0
35,4.9,3.1,1.5,0.2,0
36,5.0,3.2,1.2,0.2,0
37,5.5,3.5,1.3,0.2,0
38,4.9,3.1,1.5,0.1,0
39,4.4,3.0,1.3,0.2,0
40,5.1,3.4,1.5,0.2,0
41,7.0,3.2,4.7,1.4,1
42,6.4,3.2,4.5,1.5,1
43,6.9,3.1,4.9,1.5,1
44,5.5,2.3,4.0,1.3,1
45,6.5,2.8,4.6,1.5,1
46,5.7,2.8,4.5,1.3,1
47,6.3,3.3,4.7,1.6,1
48,4.9,2.4,3.3,1.0,1
49,6.6,2.9,4.6,1.3,1
50,5.2,2.7,3.9,1.4,1
51,5.0,2.0,3.5,1.0,1
52,5.9,3.0,4.2,1.5,1
53,6.0,2.2,4.0,1.0,1
54,6.1,2.9,4.7,1.4,1
55,5.6,2.9,3.6,1.3,1
56,6.7,3.1,4.4,1.4,1
57,5.6,3.0,4.5,1.5,1
58,5.8,2.7,4.1,1.0,1
59,6.2,2.2,4.5,1.5,1
60,5.6,2.5,3.9,1.1,1
61,5.9,3.2,4.8,1.8,1
62,6.1,2.8,4.0,1.3,1
63,6.3,2.5,4.9,1.5,1
64,6.1,2.8,4.7,1.2,1
65,6.4,2.9,4.3,1.3,1
66,6.6,3.0,4.4,1.4,1
67,6.8,2.8,4.8,1.4,1
68,6.7,3.0,5.0,1.7,1
69,6.0,2.9,4.5,1.5,1
70,5.7,2.6,3.5,1.0,1
71,5.5,2.4,3.8,1.1,1
72,5.5,2.4,3.7,1.0,1
73,5.8,2.7,3.9,1.2,1
74,6.0,2.7,5.1,1.6,1
75,5.4,3.0,4.5,1.5,1
76,6.0,3.4,4.5,1.6,1
77,6.7,3.1,4.7,1.5,1
78,6.3,2.3,4.4,1.3,1
79,5.6,3.0,4.1,1.3,1
80,5.5,2.5,4.0,1.3,1

SECTION 2 - VALIDATION BLOCKS (validation-SLP sheet).
"Per the worksheet note, bias and teta come from training for each epoch:"
"paste the five values below into columns I-M of that epoch's block, then the"
existing z / g(z) / Prediksi / error / SSE formulas will fill themselves in.

--- VALIDATION epoch 1 ---
bias,teta1,teta2,teta 3,teta4
0.38041544916557773,-0.01882113793336297,0.0716548662186788,0.5243971786782281,0.5493755145730099

No,X1,X2,X3,X4,TARGET,z,g(z),Prediksi,error,Sum Square Error,Correct?
1,5.0,3.5,1.3,0.3,0,1.3836307779177384,0.7995734861232611,1,0.7995734861232611,0.6393177597113048,0
2,4.5,2.3,1.3,0.3,0,1.3070555074220052,0.787020018598078,1,0.787020018598078,0.6194005096741191,0
3,4.4,3.2,1.3,0.2,0,1.3184894493548514,0.7889302804778989,1,0.7889302804778989,0.6224109874549363,0
4,5.0,3.5,1.6,0.6,0,1.7057625858931096,0.8462858640444245,1,0.8462858640444245,0.7161997636814181,0
5,5.1,3.8,1.9,0.4,0,1.7728209826542434,0.8548081371171956,1,0.8548081371171956,0.7306969512817703,0
6,4.8,3.0,1.4,0.3,0,1.4040072902628942,0.8028190150540994,1,0.8028190150540994,0.6445183709324342,0
7,5.1,3.8,1.6,0.2,0,1.505626726136173,0.8184121833207492,1,0.8184121833207492,0.6697985018078355,0
8,4.6,3.2,1.4,0.2,0,1.3671649396360015,0.7969217207222646,1,0.7969217207222646,0.6350842289589351,0
9,5.3,3.7,1.5,0.2,0,1.44225729405981,0.8088039629890154,1,0.8088039629890154,0.6541638505467365,0
10,5.0,3.3,1.4,0.2,0,1.3668019710845243,0.7968629724714598,1,0.7968629724714598,0.6349905968960504,0
11,5.5,2.6,4.4,1.2,1,3.429800046372462,0.9686229912321705,1,-0.03137700876782945,0.0009845166792164463,1
12,6.1,3.0,4.6,1.4,1,3.661923848750163,0.9749600476166992,1,-0.025039952383300812,0.0006269992153579721,1
13,5.8,2.6,4.0,1.2,1,3.214394833521162,0.9613724012431352,1,-0.038627598756864834,0.0014920913857213456,1
14,5.0,2.3,3.3,1.0,1,2.7310021560128868,0.9388314132999906,1,-0.06116858670000935,0.0037415959988765612,1
15,5.6,2.7,4.2,1.3,1,3.3851415349226492,0.9672369306466831,1,-0.032763069353316854,0.00107341871345025,1
16,5.7,3.0,4.2,1.2,1,3.3498183295376154,0.9660988863048532,1,-0.03390111369514681,0.0011492855097712707,1
17,5.7,2.9,4.2,1.3,1,3.3975903943730486,0.9676291442516339,1,-0.03237085574836607,0.0010478723018815244,1
18,6.2,2.9,4.3,1.3,1,3.4406195432741895,0.9689501606787913,1,-0.03104983932120875,0.000964092521872881,1
19,5.1,2.5,3.0,1.1,1,2.641069413317119,0.9334584205464505,1,-0.06654157945354955,0.004427781796173047,1
20,5.7,2.8,4.1,1.3,1,3.3379851898833577,0.9657091845289422,1,-0.034290815471057834,0.0011758600256701393,1
,,,,,,,,Accuracy,0.5,MSE,0.3291632517546766

--- VALIDATION epoch 2 ---
bias,teta1,teta2,teta 3,teta4
0.3425115816332881,-0.09294021588131364,-0.0760812229043503,0.7073264702557857,0.634691755168963

No,X1,X2,X3,X4,TARGET,z,g(z),Prediksi,error,Sum Square Error,Correct?
1,5.0,3.5,1.3,0.3,0,0.7214581599447041,0.6729280329758851,1,0.6729280329758851,0.4528321375647939,0
2,4.5,2.3,1.3,0.3,0,0.8592257353705813,0.7024988628947607,1,0.7024988628947607,0.49350465236843183,0
3,4.4,3.2,1.3,0.2,0,0.7365774808279011,0.6762469926188317,1,0.6762469926188317,0.4573099950260142,0
4,5.0,3.5,1.6,0.6,0,1.1240636275721285,0.7547416994362888,1,0.7547416994362888,0.5696350328679772,0
